id,slug,title,pitch,category,tags,keyword,search_volume,growth_percent,competition,difficulty,revenue_range,opportunity_score,problem_score,feasibility_score,timing_score,signal_count,competitor_names,created_at,updated_at,url,tracked_url
33,auto-shop-vin-scanner,Handheld VIN scanner with dead-simple shop management for independent mechanics,"A pocket-sized device that scans VINs, starts jobs with one button, and syncs to a simple dashboard - built for mechanics who hate computers.",SaaS + Hardware,Automotive|Trades|Shop Management,auto repair shop management software,1600,22,Medium,Hard,$1M - $5M,9,10,6,8,1,Mitchell1|Shop-Ware|Tekmetric|AutoFluent,2026-05-22 12:28:31,2026-05-22 12:28:31,https://businessideasdb.com/idea/auto-shop-vin-scanner,https://businessideasdb.com/idea/auto-shop-vin-scanner?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
5,solofield-service-suite,Simple estimates and invoicing for solo HVAC contractors,"Lightweight field service software for solo residential HVAC operators needing simple estimates, invoicing, and payments without team features.",SaaS,SaaS|Field Service|HVAC,field service software,4000,8,Low,Medium,$100K - $1M,8,9,8,8,1,Jobber|Housecall Pro|Service Fusion|FieldPulse,2026-05-21 18:50:09,2026-05-21 18:50:09,https://businessideasdb.com/idea/solofield-service-suite,https://businessideasdb.com/idea/solofield-service-suite?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
1,digital-legacy-vault,Password vault for families to pass down accounts and documents during emergencies,"Secure vault where families store passwords, accounts, and critical documents - accessible immediately when someone passes away.",SaaS,Fintech|Family|Security,family password manager,1300,91,Low,Easy,$500K - $2M,9,9,8,7,1,Trustworthy|1Password Families|Everplans|IronClad Family|Google Inactive Account Manager,2026-05-21 11:43:53,2026-05-21 11:43:53,https://businessideasdb.com/idea/digital-legacy-vault,https://businessideasdb.com/idea/digital-legacy-vault?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
14,angel-numbers-alerts,Real-time alerts for spiritual believers tracking angel numbers and divine messages,"App that sends notifications when angel numbers appear on your phone, helps users track meaningful patterns and receive personalized spiritual interpretations.",App,spiritual|wellness|angels|notifications|meditation,angel number app,45000,23,Low,Medium,$500K-$2M ARR,9,9,7,8,,Co-Star|Labyrinthos|Rosebud|Calm,2026-05-14 10:00:00,2026-05-22 12:10:35,https://businessideasdb.com/idea/angel-numbers-alerts,https://businessideasdb.com/idea/angel-numbers-alerts?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
20,science-discovery-game,Scientific discovery timeline game unlocking inventions chronologically with prerequisites,"Interactive timeline game progressing through scientific history, unlock breakthroughs only after mastering prerequisites, experience how humanity built knowledge cumulatively.",App,education|science|gaming|history|learning,science discovery game,56000,31,Low,Medium,$500K-$2M ARR,9,8,8,8,,Kerbal Space Program|Civilization VI|Brilliant|CuriosityStream,2026-05-08 10:00:00,2026-05-22 12:10:35,https://businessideasdb.com/idea/science-discovery-game,https://businessideasdb.com/idea/science-discovery-game?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
24,breakup-recovery-program,90-Day Breakup Recovery Program with Therapist-Designed Healing Phases,A structured 90-day program created by therapists that guides users through distinct healing phases with stage-appropriate activities and psychological tools.,App,mental-health|therapy|self-improvement|relationships|B2C,breakup recovery app,33100,28,Low,Medium,$1M-$5M ARR,9,9,7,8,0,Mend|BetterHelp|Talkspace|Rosebud,2026-05-04 10:00:00,2026-05-22 12:23:28,https://businessideasdb.com/idea/breakup-recovery-program,https://businessideasdb.com/idea/breakup-recovery-program?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
30,smartphone-addiction-recovery,Smartphone Addiction Recovery Through Intentional Use Training,"Combines app-specific time limits with intentional unlock prompts, dopamine detox challenges, and replacement activities addressing the psychology behind compulsive phone checking.",App,digital-wellness|habits|addiction|mental-health|B2C,screen time app,40500,32,Medium,Medium,$500K-$2M ARR,8,9,7,9,0,One Sec|Opal|Freedom|Clearspace,2026-04-28 10:00:00,2026-05-22 12:25:24,https://businessideasdb.com/idea/smartphone-addiction-recovery,https://businessideasdb.com/idea/smartphone-addiction-recovery?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
43,gambling-addiction-recovery,Gambling Addiction Recovery with Urge Blocking and Financial Repair Tools,"Combines gambling site blocking with urge tracking, avoided-loss calculators, debt repayment planning, and crisis counselor access - addressing both the addiction and the financial wreckage.",App,addiction-recovery|mental-health|finance|habits|B2C,gambling addiction app,14800,35,Low,Medium,$1M-$5M ARR,9,9,7,8,0,Gamban|BetBlocker|I Am Sober|BetterHelp,2026-04-25 10:00:00,2026-05-22 12:44:26,https://businessideasdb.com/idea/gambling-addiction-recovery,https://businessideasdb.com/idea/gambling-addiction-recovery?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
44,gaming-addiction-recovery,Video Game Addiction Recovery with Real-Life Achievement Systems,"Structured gaming time limits that taper gradually, combined with replacement hobby suggestions and a real-life achievement system that reframes gaming dopamine toward tangible accomplishments.",App,addiction|gaming|mental-health|habits|B2C,gaming addiction,27100,40,Low,Medium,$1M-$5M ARR,8,9,7,9,0,Game Quitters (Respawn)|Freedom|Opal|One Sec,2026-04-24 10:00:00,2026-05-22 12:44:26,https://businessideasdb.com/idea/gaming-addiction-recovery,https://businessideasdb.com/idea/gaming-addiction-recovery?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
55,solo-proposal-flow,Solo Proposal Flow,"A lightweight SaaS tool for freelancers to save services, create and send proposals and invoices with simple CRM features without QuickBooks complexity.",SaaS,SaaS|Freelance|Productivity|Invoicing|CRM,freelance invoicing software,14000,12,Low,Medium,$100K - $1M,8,9,7,8,1,QuickBooks|FreshBooks,2026-05-24 23:15:32,2026-05-24 23:15:32,https://businessideasdb.com/idea/solo-proposal-flow,https://businessideasdb.com/idea/solo-proposal-flow?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
53,ai-wedding-seating-planner,AI seating planner for couples with complex family dynamics,AI-powered seating chart software that resolves family conflicts and constraints for engaged couples planning weddings.,SaaS,B2C|Wedding|AI|Event Planning|SaaS,wedding seating chart,27100,-18,HIGH,Medium,$100K - $1M,8,9,7,8,1,AllSeated|WeddingWire Seating,2026-05-22 18:23:52,2026-05-22 18:23:52,https://businessideasdb.com/idea/ai-wedding-seating-planner,https://businessideasdb.com/idea/ai-wedding-seating-planner?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
40,small-landlord-manager,Simple rental property manager for landlords with 1-10 units,"Track rent, expenses, tenants, and ROI per property - without the complexity of tools built for 500-unit portfolios.",SaaS,Real Estate|Property Management|Landlord,rental property management software small landlord,3200,28,Medium,Easy,$1M - $5M,8,8,9,7,1,Buildium|AppFolio|Stessa|TurboTenant,2026-05-22 12:38:59,2026-05-22 12:38:59,https://businessideasdb.com/idea/small-landlord-manager,https://businessideasdb.com/idea/small-landlord-manager?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
4,trainerflow-pt-software,Affordable SaaS that replaces Google Sheets for personal trainers,"Affordable SaaS that replaces Google Sheets with professional workout programming, text check-ins, and scheduling for independent personal trainers.",SaaS,SaaS|B2B|Fitness,workout planner,60500,-33,MEDIUM,Medium,$100K - $1M,8,9,7,8,1,Trainerize|TrueCoach|My PT Hub|Everfit,2026-05-21 18:29:53,2026-05-21 18:29:53,https://businessideasdb.com/idea/trainerflow-pt-software,https://businessideasdb.com/idea/trainerflow-pt-software?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
15,ai-philosophical-journal,Voice-first philosophical journaling with AI-powered reflection prompts,"Speak your thoughts, AI transcribes and identifies patterns, asks Socratic questions to guide deeper self-understanding and personal growth through journaling.",App,journaling|philosophy|ai|mental-health|wellness,philosophy journal app,28000,15,Low,Medium,$500K-$2M ARR,8,8,8,8,,Day One|Reflectly|Rosebud|Stoic,2026-05-13 10:00:00,2026-05-22 12:10:35,https://businessideasdb.com/idea/ai-philosophical-journal,https://businessideasdb.com/idea/ai-philosophical-journal?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
19,economics-simulation-game,Interactive virtual economy simulation game for learning economics hands-on,"Play as central banker or government leader, make fiscal policy decisions, immediately see economic consequences unfold in real-time and understand how markets work.",App,education|economics|gaming|simulation|finance,economics game,34000,19,Low,Medium,$500K-$2M ARR,8,8,8,8,,Khan Academy|Duolingo|MRU|Democracy 4,2026-05-09 10:00:00,2026-05-22 12:10:35,https://businessideasdb.com/idea/economics-simulation-game,https://businessideasdb.com/idea/economics-simulation-game?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
22,historical-events-feed,Replace Social Media Scrolling with Daily Historical Events Feed,"A beautifully designed feed of historical events that happened today, replacing your social media habit with learning.",App,education|history|digital-wellness|productivity|B2C,social media alternative,14800,38,Low,Medium,$500K-$2M ARR,8,7,8,9,0,CuriosityStream|Freedom|One Sec|Opal,2026-05-06 10:00:00,2026-05-22 12:22:57,https://businessideasdb.com/idea/historical-events-feed,https://businessideasdb.com/idea/historical-events-feed?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
23,friend-focus-phone-lock,Friend-Based Phone Locking with Shared Focus Sessions,"Multiplayer phone blocking where friends co-lock devices, earn screen time as currency, and hold each other accountable in real-time focus sessions.",App,productivity|focus|digital-wellness|accountability|B2C,phone addiction app,22000,42,Medium,Medium,$500K-$2M ARR,8,8,7,9,0,Freedom|Forest|Opal|FocusMe,2026-05-05 10:00:00,2026-05-22 12:22:57,https://businessideasdb.com/idea/friend-focus-phone-lock,https://businessideasdb.com/idea/friend-focus-phone-lock?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
27,mental-health-support-circles,Mental Health App with Small Group Support Circles for Gen Z,"Anonymous 5-7 person micro-circles matched by concern, with AI-facilitated CBT prompts, weekly emotion replays, and safety guardrails.",App,mental-health|community|wellness|accountability|B2C,mental health app,74000,30,High,Hard,$1M-$5M ARR,9,9,5,9,0,BetterHelp|Wisdo|Insight Timer|Togetherall,2026-05-01 10:00:00,2026-05-22 12:24:08,https://businessideasdb.com/idea/mental-health-support-circles,https://businessideasdb.com/idea/mental-health-support-circles?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
29,household-kanban-board,Kanban Board for Household Tasks and Invisible Labor Distribution,"Apply Kanban boards, sprint planning, and workload balancing to domestic life - making invisible household labor visible and fairly distributed between partners.",Platform,relationships|productivity|household|task-tracking|B2C,household chore app,18100,25,Medium,Medium,$500K-$2M ARR,8,8,8,8,0,OurHome|Tody|Cozi|Habitica,2026-04-29 10:00:00,2026-05-22 12:24:45,https://businessideasdb.com/idea/household-kanban-board,https://businessideasdb.com/idea/household-kanban-board?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
47,breakup-digital-eraser,Social Media Blocker and Digital Trace Eraser for Post-Breakup Recovery,"Block your ex across all platforms, hide mutual friend posts that mention them, track stalking-free streaks, and safely archive old photos - designed for the specific pain of moving on.",App,breakup-recovery|mental-health|social-media|digital-wellness|B2C,breakup app,22200,45,Low,Medium,$500K-$2M ARR,8,9,7,8,0,Freedom|Opal|One Sec|Mend,2026-04-21 10:00:00,2026-05-22 12:45:22,https://businessideasdb.com/idea/breakup-digital-eraser,https://businessideasdb.com/idea/breakup-digital-eraser?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
18,historical-audio-storytelling,Historical narratives told as serialized audio podcast stories with cliffhangers,"History as addictive 10-minute audio episodes that build tension, develop historical figures as complex characters, make real events feel like gripping fiction.",App,education|history|audio|podcasts|storytelling,history podcast,78000,28,Low,Medium,$500K-$2M ARR,8,8,7,8,,Hardcore History|Audible|CuriosityStream|Nebula,2026-05-10 10:00:00,2026-05-22 12:10:35,https://businessideasdb.com/idea/historical-audio-storytelling,https://businessideasdb.com/idea/historical-audio-storytelling?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
21,philosophy-questions-community,Swipeable philosophical questions with diverse community response feed,"Tinder-style interface with thought-provoking philosophical questions, see diverse community responses from different demographics, compare thinking patterns and worldviews.",App,philosophy|community|questions|reflection|growth,philosophy community app,42000,22,Low,Medium,$500K-$2M ARR,8,8,7,8,,Reddit (r/philosophy)|Quora|Kialo|The School of Life,2026-05-07 10:00:00,2026-05-22 12:10:35,https://businessideasdb.com/idea/philosophy-questions-community,https://businessideasdb.com/idea/philosophy-questions-community?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
45,ai-sprint-planner-makers,AI Sprint Planner That Forces Solo Makers to Ship,"An AI that turns vague goals into 2-week sprints with daily shipped-proof requirements - measuring what you launched, not what you checked off.",Tool,productivity|solo-founder|ai|shipping|B2C,productivity app,74000,18,High,Medium,$500K-$2M ARR,8,8,7,8,0,Todoist|Notion|Linear|Shortcut,2026-04-23 10:00:00,2026-05-22 12:45:22,https://businessideasdb.com/idea/ai-sprint-planner-makers,https://businessideasdb.com/idea/ai-sprint-planner-makers?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
25,gamified-savings-quests,Multiplayer Savings Quests with Social Leaderboards and Weekly Challenges,"Turn budgeting into a multiplayer game with XP, weekly raid challenges, friend leaderboards, and boss fights against overspending categories.",App,finance|saving|gamification|habits|B2C,budget app,110000,15,High,Hard,$1M-$5M ARR,8,8,6,8,0,YNAB|Qapital|Acorns|Monzo (Savings Pots),2026-05-03 10:00:00,2026-05-22 12:23:28,https://businessideasdb.com/idea/gamified-savings-quests,https://businessideasdb.com/idea/gamified-savings-quests?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
26,sleep-schedule-optimizer,AI-Powered Full-Day Schedule Optimizer for Better Sleep Quality,"An AI system that orchestrates your entire day - caffeine timing, meal schedule, light exposure, workouts - to fix your sleep using proven chronobiology.",App,health|sleep|habits|productivity|B2C,sleep app,90500,22,High,Hard,$1M-$5M ARR,8,8,6,8,0,Sleep Cycle|RISE|Timeshifter|BetterSleep,2026-05-02 10:00:00,2026-05-22 12:24:08,https://businessideasdb.com/idea/sleep-schedule-optimizer,https://businessideasdb.com/idea/sleep-schedule-optimizer?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
28,date-night-scheduler,Automatic Date Night Scheduler that Guards Couple Time,"An app that scans both partners' calendars, auto-blocks protected date time, suggests personalized activities, and tracks quality time like a fitness app.",App,relationships|time-management|couples|productivity|B2C,date night ideas,49500,12,Low,Medium,$500K-$2M ARR,7,7,8,7,0,Paired|Between|Lasting|Cozi,2026-04-30 10:00:00,2026-05-22 12:24:45,https://businessideasdb.com/idea/date-night-scheduler,https://businessideasdb.com/idea/date-night-scheduler?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
31,daily-poetry-app,Daily Poetry Notifications with Audio Readings and Guided Analysis,"One poem per day with professional audio readings, line-by-line analysis of metaphors and literary devices, and poet biography - making poetry accessible without a literature degree.",App,education|poetry|literature|audio|B2C,poetry app,12100,18,Low,Easy,$500K-$2M ARR,7,6,9,7,0,Poetry Foundation|Audible|The Marginalian|Poem-a-Day (poets.org),2026-04-27 10:00:00,2026-05-22 12:25:24,https://businessideasdb.com/idea/daily-poetry-app,https://businessideasdb.com/idea/daily-poetry-app?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
46,micro-skill-fitness,Fitness App That Breaks Complex Movements into Micro-Skill Progressions,"Skill trees for bodyweight training - unlock handstands, muscle-ups, and pistol squats through structured micro-progressions with AI form checking.",App,fitness|calisthenics|skill-progression|bodyweight|B2C,calisthenics app,18100,30,Medium,Hard,$500K-$2M ARR,8,7,6,8,0,Caliverse|Thenx|Madbarz|Freeletics,2026-04-22 10:00:00,2026-05-22 12:45:22,https://businessideasdb.com/idea/micro-skill-fitness,https://businessideasdb.com/idea/micro-skill-fitness?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
48,wikipedia-rabbit-hole,Serendipitous Wikipedia Discovery with Visual Rabbit Hole Tracking,"Curated fascinating Wikipedia articles with reading time estimates, visual maps of your knowledge journeys, and achievement badges for exploring diverse topics.",App,education|curiosity|wikipedia|learning|B2C,wikipedia app,9900,15,Low,Easy,$500K-$2M ARR,7,6,9,7,0,Wikipedia|Feedly|Inoreader|Pocket,2026-04-20 10:00:00,2026-05-22 12:46:15,https://businessideasdb.com/idea/wikipedia-rabbit-hole,https://businessideasdb.com/idea/wikipedia-rabbit-hole?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
50,smart-notification-router,OS-Level Distraction Router with Smart Notification Batching,"An intelligent notification router that analyzes urgency, delays non-critical alerts into timed batches, and provides one panic pass per day for true emergencies - without going dark.",Tool,focus|productivity|notifications|deep-work|B2C,focus app,33100,25,Medium,Hard,$1M-$5M ARR,8,8,5,8,0,Freedom|Opal|Inbox When Ready|One Sec,2026-04-18 10:00:00,2026-05-22 12:46:15,https://businessideasdb.com/idea/smart-notification-router,https://businessideasdb.com/idea/smart-notification-router?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
42,art-style-quiz-game,Art Movement Recognition Through Interactive Visual Style Quiz Training,"A gamified quiz app that trains your eye to identify art movements - from Impressionism to Baroque - through pattern recognition, not memorization.",App,education|art-history|gamification|visual-learning|B2C,art history app,8100,20,Low,Medium,$500K-$2M ARR,7,6,8,7,0,Smartify|DailyArt|Google Arts & Culture|Canva Design School,2026-04-26 10:00:00,2026-05-22 12:44:26,https://businessideasdb.com/idea/art-style-quiz-game,https://businessideasdb.com/idea/art-style-quiz-game?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
49,infographic-knowledge-cards,Beautiful Infographic Knowledge Cards for Visual Learning Across Topics,"An Instagram-style feed of gorgeous infographic cards explaining science, psychology, business, and history - making learning aesthetically addictive for visual learners.",App,education|visual-learning|infographics|design|B2C,infographic app,6600,22,Low,Medium,$500K-$2M ARR,7,6,7,8,0,Pinterest|Instagram|Visual Capitalist|Canva,2026-04-19 10:00:00,2026-05-22 12:46:15,https://businessideasdb.com/idea/infographic-knowledge-cards,https://businessideasdb.com/idea/infographic-knowledge-cards?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
